Image_name,Genotype,Plant_number,laser,Count_Small,Total_area_Small,Avg_area_Small,Count_Giant,Total_area_Giant,Avg_area_Giant,Small.Giant_ratio,Giant.Small_ratio,Percent_Small_Cells,Total_area,Small_Giant_area_ratio,Percent_area_small,Percent_area_giant
Segmented_GiantCells_pAR262-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR262,22,1A,267,7437,27.854,40,6346,158.65,6.675,0.149812734,0.86970684,13783,1.171919319,0.539577741,0.460422259
Segmented_GiantCells_pAR262-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR262,23,1A,484,15260,31.529,29,4852,167.31,16.68965517,0.059917355,0.943469786,20112,3.145094806,0.758750994,0.241249006
Segmented_GiantCells_pAR262-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR262,24,1A,372,12329,33.142,40,7088,177.2,9.3,0.107526882,0.902912621,19417,1.739418736,0.634959056,0.365040944
Segmented_GiantCells_pAR262-Col-T1#25-10X-1A_Maximumintensityprojection.tif,pAR262,25,1A,151,4520,29.934,23,4022,174.87,6.565217391,0.152317881,0.867816092,8542,1.123818996,0.529150082,0.470849918
Segmented_GiantCells_pAR262-Col-T1#27-10X-1A_Maximumintensityprojection.tif,pAR262,27,1A,219,6346,28.977,33,5057,153.242,6.636363636,0.150684932,0.869047619,11403,1.254894206,0.556520214,0.443479786
Segmented_GiantCells_pAR262-Col-T1#28-10X-2A_Maximumintensityprojection.tif,pAR262,28,2A,105,2896,27.581,25,4289,171.56,4.2,0.238095238,0.807692308,7185,0.675215668,0.403061935,0.596938065
Segmented_GiantCells_pAR262-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR262,3,1A,288,6262,21.743,40,4848,121.2,7.2,0.138888889,0.87804878,11110,1.291666667,0.563636364,0.436363636
Segmented_GiantCells_pAR262-Col-T1#30-10X-1A_Maximumintensityprojection.tif,pAR262,30,1A,149,5099,34.221,31,5142,165.871,4.806451613,0.208053691,0.827777778,10241,0.991637495,0.497900596,0.502099404
Segmented_GiantCells_pAR262-Col-T1#31-10X-1A_Maximumintensityprojection.tif,pAR262,31,1A,167,4377,26.21,29,5378,185.448,5.75862069,0.173652695,0.852040816,9755,0.813871328,0.448692978,0.551307022
Segmented_GiantCells_pAR262-Col-T1#32-10X-1A_Maximumintensityprojection.tif,pAR262,32,1A,168,4811,28.637,33,5649,171.182,5.090909091,0.196428571,0.835820896,10460,0.85165516,0.459942639,0.540057361
Segmented_GiantCells_pAR262-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR262,4,1A,273,8609,31.535,26,4740,182.308,10.5,0.095238095,0.913043478,13349,1.816244726,0.644917222,0.355082778
Segmented_GiantCells_pAR262-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR262,5,1A,104,2606,25.058,22,3159,143.591,4.727272727,0.211538462,0.825396825,5765,0.824944603,0.452038161,0.547961839
Segmented_GiantCells_pAR262-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR262,6,1A,242,7969,32.93,30,5215,173.833,8.066666667,0.123966942,0.889705882,13184,1.528092042,0.604444782,0.395555218
Segmented_GiantCells_pAR262-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR262,7,1A,225,6604,29.351,29,5172,178.345,7.75862069,0.128888889,0.885826772,11776,1.276875483,0.56080163,0.43919837
Segmented_GiantCells_pAR262-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR262,9,1A,161,4069,25.273,21,3495,166.429,7.666666667,0.130434783,0.884615385,7564,1.164234621,0.537942887,0.462057113
Segmented_GiantCells_pAR261-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR261,1,1A,723,22315,30.864,30,4105,136.833,24.1,0.041493776,0.960159363,26420,5.436053593,0.844625284,0.155374716
Segmented_GiantCells_pAR261-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR261,10,1A,437,16111,36.867,22,2749,124.955,19.86363636,0.050343249,0.952069717,18860,5.86067661,0.854241782,0.145758218
Segmented_GiantCells_pAR261-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR261,11,1A,538,19708,36.632,22,3075,139.773,24.45454545,0.040892193,0.960714286,22783,6.409105691,0.865030944,0.134969056
Segmented_GiantCells_pAR261-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR261,12,1A,606,21482,35.449,20,2817,140.85,30.3,0.0330033,0.968051118,24299,7.625843095,0.884069303,0.115930697
Segmented_GiantCells_pAR261-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR261,13,1A,319,11475,35.972,28,3614,129.071,11.39285714,0.087774295,0.919308357,15089,3.175152186,0.760487773,0.239512227
Segmented_GiantCells_pAR261-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR261,14,1A,416,12339,29.661,23,3171,137.87,18.08695652,0.055288462,0.9476082,15510,3.891201514,0.795551257,0.204448743
