Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
Segmented_GiantCells_pAR257-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR257,4,Giant,25,3818,152.72,,,1A
Segmented_GiantCells_pAR257-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR257,5,Giant,34,5256,154.588,,,1A
Segmented_GiantCells_pAR257-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR257,6,Giant,44,7017,159.477,,,1A
Segmented_GiantCells_pAR257-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR257,7,Giant,32,5351,167.219,,,1A
Segmented_GiantCells_pAR257-Col-T1#8-10X-1A_Maximumintensityprojection.tif,pAR257,8,Giant,48,6556,136.583,,,1A
Segmented_GiantCells_pAR257-Col-T1#9-10X-1A_Maximumintensityprojection.tif,pAR257,9,Giant,28,4062,145.071,,,1A
Segmented_SmallCells_pAR257-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR257,1,Small,113,2127,18.823,,,1A
Segmented_SmallCells_pAR257-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR257,10,Small,509,18444,36.236,,,1A
Segmented_SmallCells_pAR257-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR257,11,Small,390,9909,25.408,,,1A
Segmented_SmallCells_pAR257-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR257,12,Small,110,3105,28.227,,,1A
Segmented_SmallCells_pAR257-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR257,13,Small,242,5214,21.545,,,1A
Segmented_SmallCells_pAR257-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR257,14,Small,75,1463,19.507,,,1A
Segmented_SmallCells_pAR257-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR257,15,Small,94,1574,16.745,,,1A
Segmented_SmallCells_pAR257-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR257,16,Small,1017,22753,22.373,,,1A
Segmented_SmallCells_pAR257-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR257,17,Small,380,10906,28.7,,,1A
Segmented_SmallCells_pAR257-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR257,19,Small,435,10425,23.966,,,1A
Segmented_SmallCells_pAR257-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR257,2,Small,531,13375,25.188,,,1A
Segmented_SmallCells_pAR257-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR257,20,Small,84,1394,16.595,,,1A
Segmented_SmallCells_pAR257-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR257,22,Small,30,359,11.967,,,1A
Segmented_SmallCells_pAR257-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR257,23,Small,211,4672,22.142,,,1A
Segmented_SmallCells_pAR257-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR257,24,Small,237,5123,21.616,,,1A
Segmented_SmallCells_pAR257-Col-T1#25-10X-1B_Maximumintensityprojection.tif,pAR257,25,Small,520,16286,31.319,,,1B
